WRIST_rx,WRIST_ry,WRIST_rz,WRIST_x,WRIST_y,WRIST_z,ant1_00470102030405000000ffff_phase,ant1_00470102030405000000ffff_rssi,ant1_00480102030405000000ffff_phase,ant1_00480102030405000000ffff_rssi,ant1_00490102030405000000ffff_phase,ant1_00490102030405000000ffff_rssi,ant1_004a0102030405000000ffff_phase,ant1_004a0102030405000000ffff_rssi,ant4_00470102030405000000ffff_phase,ant4_00470102030405000000ffff_rssi,ant4_00480102030405000000ffff_phase,ant4_00480102030405000000ffff_rssi,ant4_00490102030405000000ffff_phase,ant4_00490102030405000000ffff_rssi,ant4_004a0102030405000000ffff_phase,ant4_004a0102030405000000ffff_rssi,interaction_id,timestamp
1.1902734034375797,-2.2094240592859644,0.6012496205255011,0.03241110324983578,-0.20162066440216267,1.0697473363664116,3138,71,3975,68,68,66,913,74,1376,68,2715,69,,,535,75,-1,1776811579.175979
1.152495163784614,-2.249326699526844,0.5133171096833128,0.03672638865094496,-0.20176439767200177,1.0689941726499026,1037,73,3822,69,3548,63,2917,75,3484,69,998,69,,,233,67,-1,1776811580.095505
1.1731373597537789,-2.2618097844729683,0.49024553279352057,0.036514562985058424,-0.2067132273195867,1.0903704946359247,3036,68,3795,70,2986,72,2781,76,4037,63,3046,69,3649,66,2620,70,-1,1776811581.020519
1.296110992941106,-2.1713996144047627,0.6530886699467591,0.03612548854892264,-0.15072894884892576,1.0412938376533392,3118,70,1539,69,867,73,319,74,,,2814,71,1424,71,181,68,-1,1776811582.0398495
2.0506694453333223,-2.835604109733673,-0.8903381899592047,0.028002119104505407,-0.07993748582517811,1.0187938870276603,3531,62,1605,69,788,71,349,73,,,2800,72,3363,71,105,69,-1,1776811583.1181946
1.6019708240625263,-2.1047254738541903,0.4689137084811094,0.022012904618115007,-0.058807600924590676,0.9972601601373859,1586,66,3668,68,779,70,417,73,,,587,72,3446,71,169,69,-1,1776811584.1518526
1.5583282065379807,-2.04008240652688,0.5112017996199729,0.009684630348987195,-0.058291532276002006,0.9981408504934852,1319,68,1635,67,813,71,452,73,,,2569,73,3486,73,2341,68,-1,1776811585.124328
1.6631012464815802,-2.0001707622801805,0.46434525410187405,-0.010616621001585993,-0.04739139104528477,1.0021141396456952,1441,66,1637,67,790,72,508,73,,,2931,73,1541,71,1022,70,-1,1776811586.1493351
1.7331136275687158,-1.9485069489294062,0.3951994229077869,-0.014785331862700604,-0.05573872537012789,1.0054661457639,1111,68,3480,65,810,73,2693,74,1731,70,2837,70,3376,67,76,68,-1,1776811587.1776528
1.720852687811208,-1.9763670717686181,0.4112515550089784,-0.015094386416173914,-0.09233093356026145,1.0327784957773591,3079,69,3795,68,2930,75,3163,72,1768,70,2775,70,3489,65,416,67,-1,1776811588.2071688
1.672011150290924,-1.9773590065249003,0.4630890932139336,-0.017994665860304838,-0.13109540439841896,1.0332583939950861,3265,71,1772,68,817,77,3301,73,3596,69,774,66,3060,66,439,73,-1,1776811589.339094
1.6311163663388903,-2.078354958059209,0.4851432769716811,-0.02556363309296912,-0.1743674337921019,1.080367823824012,3258,72,3860,66,2793,76,1073,72,1419,68,3364,66,592,65,183,70,-1,1776811590.3660922
1.5691682220558807,-2.0783097337948346,0.5052400402231069,-0.029607469637171056,-0.19765624849613153,1.0723310734113738,3099,72,3936,65,2919,75,3016,71,1332,69,3436,67,677,60,182,70,-1,1776811591.3955016
1.5262933466900779,-2.120941296922417,0.5617231478937986,-0.023091662364314574,-0.2101893144414572,1.0916907907078361,3072,72,3883,64,2971,73,937,71,3388,69,3451,67,374,64,121,71,-1,1776811592.367656
1.5471861494437333,-2.1161007787447828,0.5291335319851259,-0.023160739081985328,-0.20854765744785225,1.0800255136768848,984,72,3922,65,853,74,964,71,1358,68,1312,64,522,64,219,69,-1,1776811593.2880273
1.5867057805636886,-1.9916708787843829,0.45343550818197564,-0.03777679017636327,-0.20822442873115518,1.0757306262242152,1006,71,3837,67,811,75,3061,71,3464,67,1191,64,521,65,209,70,-1,1776811594.266143
1.644258574437766,-1.8882319145833837,0.4153165656645512,-0.04540458490889849,-0.20876538906782074,1.0788266198109844,3056,72,3865,66,817,75,3049,72,1409,68,1247,65,626,66,194,71,-1,1776811595.187719
1.6238012489767584,-1.8791948105243779,0.4195767097393263,-0.0465110284171093,-0.20777534246660276,1.0753172907064952,1054,72,3838,66,2891,75,3126,72,1471,69,3392,66,,,28,74,-1,1776811596.1111548
1.5764214192257189,-2.002049909097695,0.45290668451376515,-0.03815034029644877,-0.1980424874634546,1.058551215674523,3020,71,1571,66,876,76,3128,75,3495,69,3400,67,,,3953,73,-1,1776811597.035066
1.5360396843381414,-2.1620493481346426,0.5727322857334081,-0.017088057032886707,-0.160856903321818,1.0422561638597423,950,70,3414,66,889,75,898,75,3729,69,3206,68,,,3762,71,-1,1776811597.9038613
1.5513618949849874,-2.146149637460347,0.5456489683733075,-0.005856936175054547,-0.1361799245039439,1.0310374226628936,952,68,3340,68,810,73,847,75,3688,69,1098,68,2892,62,3479,70,-1,1776811598.8259258
1.585639541628268,-2.148255482054104,0.5250125887885023,-0.0037605439701763606,-0.11583434225030961,1.0214301887756012,905,66,3331,66,745,74,716,75,3387,68,1116,67,3148,61,3343,70,-1,1776811599.745357
1.6452589004030453,-2.1382520718531604,0.5107512156231911,-0.014863680708103108,-0.0929575237707276,1.0199338458253948,2924,68,3248,63,813,74,2756,74,3258,68,3346,65,,,3558,73,-1,1776811600.7215815
1.7283093905260198,-2.044034964734334,0.5297914330764154,-0.03803193079120213,-0.08100754234698063,1.0153934346755098,2918,70,1451,64,717,74,1049,75,3363,69,3449,64,3925,61,3758,74,-1,1776811601.6464736
