WRIST_rx,WRIST_ry,WRIST_rz,WRIST_x,WRIST_y,WRIST_z,ant1_003f0102030405000000ffff_phase,ant1_003f0102030405000000ffff_rssi,ant1_00400102030405000000ffff_phase,ant1_00400102030405000000ffff_rssi,ant1_00410102030405000000ffff_phase,ant1_00410102030405000000ffff_rssi,ant1_00420102030405000000ffff_phase,ant1_00420102030405000000ffff_rssi,ant1_00430102030405000000ffff_phase,ant1_00430102030405000000ffff_rssi,ant1_00440102030405000000ffff_phase,ant1_00440102030405000000ffff_rssi,ant1_00450102030405000000ffff_phase,ant1_00450102030405000000ffff_rssi,ant1_00460102030405000000ffff_phase,ant1_00460102030405000000ffff_rssi,ant4_003f0102030405000000ffff_phase,ant4_003f0102030405000000ffff_rssi,ant4_00400102030405000000ffff_phase,ant4_00400102030405000000ffff_rssi,ant4_00410102030405000000ffff_phase,ant4_00410102030405000000ffff_rssi,ant4_00420102030405000000ffff_phase,ant4_00420102030405000000ffff_rssi,ant4_00430102030405000000ffff_phase,ant4_00430102030405000000ffff_rssi,ant4_00440102030405000000ffff_phase,ant4_00440102030405000000ffff_rssi,ant4_00450102030405000000ffff_phase,ant4_00450102030405000000ffff_rssi,ant4_00460102030405000000ffff_phase,ant4_00460102030405000000ffff_rssi,interaction_id,timestamp
-0.531420159333211,-2.9764681546512124,0.7083494050152923,0.10230817827835671,-0.13361100932560308,1.0115194877020517,489,64,,,907,62,2945,69,3318,68,334,65,1042,68,4041,66,,,4011,65,,,,,286,65,,,242,70,,,-1,1776476539.8765137
-0.574577175798489,-3.0173642547862256,0.6184690944873841,0.12299194987447981,-0.13908677700863362,1.0277209480121177,538,64,,,959,63,908,69,3308,68,368,65,3098,68,30,65,,,4037,67,,,206,62,295,64,,,283,68,3043,65,-1,1776476540.652142
0.635525404238172,3.0007563364620946,-0.7241796467992413,0.13707200074618245,-0.1394234982829923,1.0102818803953568,543,63,,,2958,62,910,69,3286,68,476,65,1063,68,69,66,,,,,,,267,63,219,63,,,,,937,64,-1,1776476541.571694
0.6839492615891533,2.99903412412596,-0.6592742884832532,0.15152058291739853,-0.14054105287161156,1.023716166342625,2567,65,,,3033,63,919,69,3292,67,2492,63,1080,68,123,65,,,11,68,,,311,65,281,61,,,247,67,1113,64,-1,1776476542.4003022
0.6672501293015813,2.999440653541442,-0.7869206939894732,0.15541874381445409,-0.13600352551330908,1.0042112724332415,573,64,,,933,63,3009,70,3237,67,952,60,3105,67,143,67,,,29,68,,,470,65,,,,,167,66,1102,64,-1,1776476543.325633
0.7133754177857119,2.9738795791373334,-0.81388847267862,0.16967069626878847,-0.13689769442920935,1.0028078786401375,2536,65,,,3026,64,2983,70,1197,67,1729,63,3112,66,192,67,,,4075,68,,,516,66,,,,,68,66,1143,63,-1,1776476544.2064378
-0.799998137650079,-2.9842529610376136,0.7202588370903505,0.1897215393593485,-0.1410644458083793,1.0212857555446644,521,65,,,1088,63,3006,68,3256,66,4090,60,1074,67,195,68,,,4042,68,,,2515,66,93,63,,,4042,67,1150,62,-1,1776476545.0826309
0.7679166705396387,2.9364398311320015,-0.8218370824570085,0.19834416183594172,-0.13234119862788402,1.0076831106446666,528,64,,,3115,61,946,69,1209,65,195,62,1059,67,2243,69,,,4057,69,,,449,66,128,58,,,4089,65,1173,63,-1,1776476546.0119562
0.7743460489329969,2.8844919207405173,-0.673471827221799,0.2053034546050673,-0.12633864559129493,1.021548417059774,529,63,,,1122,63,2972,69,1149,65,2439,64,3133,67,2231,69,,,3996,68,,,330,67,256,60,,,3991,67,3215,65,-1,1776476546.9344819
0.7681766531978471,2.9617674136491248,-0.6744363462825534,0.2065821500501203,-0.11915038302145971,1.021408547289148,542,64,,,3192,61,2975,69,1202,65,364,63,3140,69,2193,68,,,4010,69,,,312,66,202,61,,,15,66,3147,63,-1,1776476547.858033
