WRIST_rx,WRIST_ry,WRIST_rz,WRIST_x,WRIST_y,WRIST_z,ant1_00470102030405000000ffff_phase,ant1_00470102030405000000ffff_rssi,ant1_00480102030405000000ffff_phase,ant1_00480102030405000000ffff_rssi,ant1_00490102030405000000ffff_phase,ant1_00490102030405000000ffff_rssi,ant1_004a0102030405000000ffff_phase,ant1_004a0102030405000000ffff_rssi,ant4_00470102030405000000ffff_phase,ant4_00470102030405000000ffff_rssi,ant4_00480102030405000000ffff_phase,ant4_00480102030405000000ffff_rssi,ant4_00490102030405000000ffff_phase,ant4_00490102030405000000ffff_rssi,ant4_004a0102030405000000ffff_phase,ant4_004a0102030405000000ffff_rssi,interaction_id,timestamp
-2.132218541301857,-2.290627799137036,1.1929631199231492,-0.2975774026093577,0.06914262647937273,1.069202619170402,2756,69,2522,67,3450,76,3689,70,1226,71,2752,68,777,72,573,78,-1,1778393986.9557796
1.8516329184411058,2.00649025087522,-1.024857091447375,-0.3014900245791393,0.06897595721350665,1.0811377331027114,1469,60,3953,70,871,76,3870,74,3399,70,1197,68,996,71,3092,74,-1,1778393987.730139
1.767799245588561,2.0450855947586226,-0.9917888922922747,-0.30659991563180694,0.06916216885685995,1.1096078760091006,1492,69,21,67,812,72,3846,73,1251,70,3144,68,634,71,923,75,-1,1778393988.445817
-1.8769233063897883,-2.557039800963133,1.2057737043029544,-0.28846303284775215,0.06385969247593781,1.087207551897243,3373,71,73,70,2986,69,3670,72,3342,70,3031,68,441,71,776,77,-1,1778393989.156248
-1.770018860363176,-2.6493181964835553,1.3281567955360896,-0.26735476342968,0.064006771143925,1.0813703040975307,3358,71,104,71,1072,70,3625,71,1279,71,1080,64,273,71,851,76,-1,1778393989.9193661
1.536441120042376,2.1200062621597935,-1.1091660457925854,-0.23614226762852986,0.0666818647810258,1.061115601383328,1274,71,33,72,1078,72,3605,68,3269,72,1650,66,190,69,3299,74,-1,1778393990.6908183
1.6993458225685785,2.0525413037711684,-0.9999587967335652,-0.20291987482963478,0.06826492635345947,1.0496602254466754,1194,71,608,74,3139,72,,,1171,71,3736,66,197,66,1372,74,-1,1778393991.4588144
1.71492008450341,2.032048388858595,-1.0365187104903828,-0.17256452403242123,0.07341825433143809,1.0457105369235937,3250,71,2990,69,3149,71,,,3154,71,3268,64,571,65,1221,71,-1,1778393992.174224
-2.092447428492548,-2.3523081532209966,1.3112041196784308,-0.14135624165055258,0.07634513161003371,1.0243226671003742,3246,71,830,64,3026,70,2459,64,1045,69,3274,66,2749,65,3304,71,-1,1778393992.8833413
1.817082876502608,1.9093016518450603,-1.1215937967109286,-0.1127293470146217,0.0805397312509934,1.0363494919171945,3254,70,586,62,980,68,147,65,1267,67,2883,66,713,67,3310,67,-1,1778393993.6479044
-2.293840074486608,-2.2125960425468683,1.3114195301987306,-0.07590124122234884,0.08586034143303325,1.0533127265054498,1387,67,198,64,3109,68,70,67,3886,69,2968,68,474,68,1250,63,-1,1778393994.4185908
2.0206869130452683,1.6132173596918824,-0.992194567630046,-0.01683711254411283,0.08337284270754401,1.0156531068651906,3568,68,108,65,3216,67,11,66,4034,69,2950,67,364,70,3270,60,-1,1778393995.1300335
2.042005191944699,1.566109147424822,-1.0353430572361078,0.005555643004840896,0.0836744196506043,0.9903041615815861,3640,67,133,67,3261,67,3985,66,3991,63,1049,67,389,69,776,62,-1,1778393995.9016216
2.524745862659819,1.9352980054565743,1.0018073840551966,0.017204605102041606,0.08635631610924101,1.001193061846384,2874,64,34,67,1145,65,3898,67,,,3158,67,370,68,510,65,-1,1778393996.6650515
2.0953001699918348,1.6185172268328767,-0.9179892477502081,0.038992128728236,0.09028561261121704,1.0036343539786678,2665,67,110,68,3380,64,3745,68,1462,63,1172,67,305,66,487,68,-1,1778393997.339679
