WRIST_rx,WRIST_ry,WRIST_rz,WRIST_x,WRIST_y,WRIST_z,ant1_00470102030405000000ffff_phase,ant1_00470102030405000000ffff_rssi,ant1_00480102030405000000ffff_phase,ant1_00480102030405000000ffff_rssi,ant1_00490102030405000000ffff_phase,ant1_00490102030405000000ffff_rssi,ant1_004a0102030405000000ffff_phase,ant1_004a0102030405000000ffff_rssi,ant4_00470102030405000000ffff_phase,ant4_00470102030405000000ffff_rssi,ant4_00480102030405000000ffff_phase,ant4_00480102030405000000ffff_rssi,ant4_00490102030405000000ffff_phase,ant4_00490102030405000000ffff_rssi,ant4_004a0102030405000000ffff_phase,ant4_004a0102030405000000ffff_rssi,interaction_id,timestamp
1.7408341716211457,-1.851486073016248,0.23617415549602327,-0.08556948384481623,-0.05908258434158948,1.0129195107108648,1014,72,473,70,1049,68,3147,71,4002,70,829,68,3162,69,3639,72,-1,1776811235.8131726
1.7519800813583613,-1.8444966154317277,0.12422983795078918,-0.08918515407900453,-0.05905742441300608,1.0234801865849632,1005,74,371,72,3263,67,3262,71,2507,69,3405,64,3807,63,86,65,-1,1776811236.8945882
1.7495665412277066,-1.8861908054005978,0.25051094635556165,-0.0870043841562807,-0.059658340087464956,1.0229617898567076,1231,71,108,71,835,65,3346,71,,,2851,73,184,62,976,62,-1,1776811237.8697407
1.6350838749493137,-1.8382212745076412,0.280008177063875,-0.08042135287478837,-0.06597827267064543,1.0008663955763133,3174,68,3832,68,954,66,625,70,,,2915,71,1,64,1127,69,-1,1776811238.8426185
1.5584151710588725,-2.129914424382991,0.28370859774793283,0.052678874712853596,-0.06652055903294575,1.0008198951442009,3617,66,3489,67,3456,60,534,70,139,60,698,70,3870,69,2576,71,-1,1776811239.7171848
1.583984363821287,-2.171973408483451,0.2475645896442937,0.04127403485930966,-0.051655445535413916,1.0242872360861985,3895,72,3334,65,3724,66,353,70,3881,68,2651,70,3914,70,401,71,-1,1776811240.747422
1.5824091059509688,-2.0992208627766096,0.24693760385653377,0.01727026700760307,-0.04195085118119139,0.9988167352500997,3986,73,3195,63,3523,64,2450,71,3896,70,560,69,60,68,285,71,-1,1776811241.7716637
1.629033766635502,-2.0171490395109415,0.19094933134757738,0.004679335035954351,-0.05434974583380003,1.012796385988601,3597,71,3231,63,3113,66,2651,72,1693,70,722,68,218,69,313,73,-1,1776811242.799545
1.6000200247907896,-2.0923130957031653,0.18735410952707418,-0.021803025819516514,-0.07038403495658763,1.028325482426874,3215,70,2983,64,1070,71,538,72,3787,67,3145,67,73,70,442,72,-1,1776811243.8833387
1.5348556322116274,-2.1249683297579396,0.35260464333264696,0.004183324974338444,-0.09967292862658926,1.0130006541350511,2832,68,3020,65,1029,70,448,73,2917,67,1325,66,,,580,70,-1,1776811244.970923
