WRIST_rx,WRIST_ry,WRIST_rz,WRIST_x,WRIST_y,WRIST_z,ant1_00470102030405000000ffff_phase,ant1_00470102030405000000ffff_rssi,ant1_00480102030405000000ffff_phase,ant1_00480102030405000000ffff_rssi,ant1_00490102030405000000ffff_phase,ant1_00490102030405000000ffff_rssi,ant1_004a0102030405000000ffff_phase,ant1_004a0102030405000000ffff_rssi,ant4_00470102030405000000ffff_phase,ant4_00470102030405000000ffff_rssi,ant4_00480102030405000000ffff_phase,ant4_00480102030405000000ffff_rssi,ant4_00490102030405000000ffff_phase,ant4_00490102030405000000ffff_rssi,ant4_004a0102030405000000ffff_phase,ant4_004a0102030405000000ffff_rssi,interaction_id,timestamp
1.5189014633998328,-2.098232471394137,0.4625741842394193,-0.02575337731690796,-0.06699200570281635,1.0078579162583214,3071,72,3422,61,3744,70,2532,75,,,777,72,686,59,377,64,-1,1776811926.4908683
1.3371215820534963,-2.2222909911982143,0.5241716076662023,0.01474968012757967,-0.09067429013160368,1.0235048530621547,599,71,12,67,1292,67,636,71,382,65,1024,72,3689,65,982,70,-1,1776811927.4696052
1.3596099028723205,-2.337114200161027,0.4974671221341823,0.015554145933857393,-0.09377118482173519,1.0350177815780928,2999,71,335,69,3240,68,909,71,292,67,3132,64,848,66,3520,69,-1,1776811928.5023348
1.5081611574358584,-2.1719698648092773,0.4264528814270663,-0.03340862839473768,-0.07355634899025632,1.0349697648158545,718,73,2697,69,3310,71,3862,76,2688,65,210,66,3494,69,,,-1,1776811929.5869884
1.7585829894677092,-1.8863403128044425,0.34596509789751534,-0.12248384825548202,-0.057323744312255544,1.0281124349925734,770,74,3770,70,3322,71,3072,64,296,65,3370,67,2809,65,3764,74,-1,1776811930.6700134
1.8304283452707215,-1.8450770086700616,0.32826278925799807,-0.16838556631131218,-0.06912230162950532,1.0292473671114855,727,74,231,71,3190,71,3566,73,2330,64,1039,70,3202,61,3592,72,-1,1776811931.750657
1.7496587530805725,-1.9338196768441764,0.4129710161874683,-0.09224068527479852,-0.13465558255653723,1.0628583038665471,790,74,242,71,3194,70,1418,73,2348,66,3076,72,3639,64,1408,69,-1,1776811932.7804828
1.635948427713267,-2.005236886429549,0.5118864771086751,-0.06846271707119123,-0.15503050379099065,1.047251187211768,759,75,246,72,1378,71,1349,71,248,65,3211,72,3477,66,3491,65,-1,1776811933.8634999
1.4620765882526265,-2.1411737833924027,0.568545026315257,-0.03642311481260857,-0.18113714729175392,1.059283342345033,2754,75,2299,72,3656,74,3465,69,,,1111,71,3795,66,1322,71,-1,1776811934.8933613
1.2374529052899355,-2.3162540875663034,0.7019570196415427,-0.0002150846657600057,-0.213260097291733,1.0848236072270787,457,75,54,71,3593,72,3096,72,4009,70,3067,72,3310,69,2929,73,-1,1776811935.8814838
1.248162552294911,-2.2632929370733414,0.7373440468685271,0.0011807586368572831,-0.16669713109139964,1.0523797216347643,386,73,54,69,3662,73,506,70,1663,68,735,72,888,72,2511,70,-1,1776811936.9110196
1.3350348892565245,-2.2111763603824257,0.6803602271029013,-0.01233683767717849,-0.11859201967820275,1.0379111100904446,629,69,553,68,3734,76,,,3120,62,2469,69,558,74,3860,64,-1,1776811938.0989842
1.405612611202569,-2.2092817238644757,0.5781857346517009,-0.02803862341914986,-0.054171710944878,1.026158884001643,533,70,2630,70,3674,77,326,65,893,64,2775,64,508,74,3965,66,-1,1776811939.18083
1.5037634010264478,-2.1654746940162557,0.5983506836481493,-0.04450370594554352,0.007788990040096201,0.9936360433185957,2580,69,590,70,3652,77,397,64,3072,61,3211,61,559,74,4029,67,-1,1776811940.368119
1.594175242449467,-2.1054375978034114,0.5565646753427972,-0.05916124510708514,0.03395505706205802,0.9788629140221612,481,70,659,69,3673,78,2511,63,1037,62,,,2709,74,3935,67,-1,1776811941.5640934
1.7017019613443454,-2.0632800951308568,0.5706448707262866,-0.07272972835973085,0.041083189079944384,0.9756929551318075,348,71,860,71,3696,77,312,67,3554,65,2113,61,2938,73,3857,67,-1,1776811942.6952393
1.6982553759008456,-2.0541434945583967,0.5990644605999554,-0.09169208545320115,0.014656776923102554,0.9929649556413279,2492,72,2845,70,3576,74,496,66,3901,69,4017,65,3177,73,331,63,-1,1776811943.7818465
1.6941051703508552,-1.9847067676283194,0.6408857307313913,-0.1098956399417643,-0.03238573354985138,1.0025699051901111,2457,73,669,68,3444,72,911,67,199,66,,,3262,73,,,-1,1776811944.8705142
1.6907586329249704,-1.9449426611369411,0.6307727585013195,-0.12581862847015465,-0.059670500768843414,1.0173306139349922,2501,73,3996,64,3338,73,3655,71,596,66,3585,70,3186,65,3859,64,-1,1776811945.8461568
1.701151902051677,-1.8974579025852742,0.5860802057640779,-0.1374281655456503,-0.099156349125885,1.0410228068780638,745,74,2322,70,3317,75,,,901,64,3593,71,321,62,3661,74,-1,1776811946.9237492
1.7298329222311506,-1.8921652712914099,0.589373908202061,-0.14358451583573395,-0.14669706885617495,1.0620809307112347,2941,71,2397,68,1216,75,706,69,1184,65,1533,70,6,67,3631,60,-1,1776811947.8499076
1.7167516800754608,-1.8819595341959572,0.6061478311213673,-0.14487210548785107,-0.1663944294891181,1.0647893994598319,2911,70,164,66,1225,75,3814,68,3321,61,3513,69,156,69,3511,71,-1,1776811948.8778126
1.7751374845412622,-1.8525757055172434,0.5700952362083413,-0.14283394385925113,-0.1983222217900583,1.1066333202493814,784,71,134,68,3253,76,1445,71,3214,64,3373,67,180,68,3631,74,-1,1776811949.8655307
1.7373241024689738,-1.8997150345281104,0.6151420590267402,-0.11688907582618167,-0.19189154103961426,1.0926298706845108,821,71,143,71,1105,74,3325,72,2862,64,979,71,358,66,3460,71,-1,1776811950.8971267
1.6697977910634727,-1.979999306498118,0.6374803871154746,-0.074472275986779,-0.1645012119214446,1.0782706596456004,764,71,3982,70,1148,71,3236,71,,,1028,72,53,62,3181,69,-1,1776811951.8744364
1.5827171477548807,-2.0615172233566232,0.6276342580882481,-0.014431418105639726,-0.13111768136619875,1.0621237298346833,449,70,3820,67,3301,69,732,73,740,60,1096,71,3582,60,924,68,-1,1776811952.8528235
1.539017618062433,-2.0978299188853406,0.6200252150541364,0.01884691724500076,-0.10172637007091069,1.0302465421469398,,,3746,67,3409,68,427,71,,,3194,71,2918,59,2694,70,-1,1776811953.8805132
1.5301688787538992,-2.1151471805439748,0.625848704556146,0.035571550547610055,-0.08180226848788869,1.0236082892590255,539,70,3812,63,3427,69,174,70,,,1279,71,743,62,540,71,-1,1776811954.8038435
1.5420794622565352,-2.151551447789482,0.607583233584838,0.053904285037203806,-0.05604460879942554,1.0160932644744711,,,3893,62,1306,69,67,69,,,3349,71,695,59,530,72,-1,1776811955.7782018
1.5760915301295837,-2.1453763820284455,0.58663743825639,0.06746158353313131,-0.030484695320601805,1.0070182763761697,1875,65,4059,64,3426,70,122,68,,,1055,72,,,406,71,-1,1776811956.7012227
1.5851908979614429,-2.108482524813421,0.5882447095064445,0.05815333927495795,-0.02100919017841801,0.9900371257054303,1347,70,159,64,3517,70,2287,69,,,2922,72,,,422,69,-1,1776811957.6788723
1.6460774940776397,-2.048227869532902,0.5995668809820466,0.029932693090958303,-0.021828615123667152,0.9848138345953809,3009,73,2382,65,3588,72,277,68,125,66,2701,72,377,63,525,69,-1,1776811958.5462625
1.6870873282716534,-2.0076236350148946,0.5799450846301553,0.0017582234322212431,-0.02209298590447649,0.9831733695649842,727,72,2539,67,3679,72,2426,66,492,66,2777,65,2876,67,942,70,-1,1776811959.524245
1.7941844474648272,-1.9178904531888559,0.5437731470984309,-0.04654999319392049,-0.026113835068554088,1.0087393095094799,2758,73,750,69,1581,70,,,2764,65,,,3533,69,,,-1,1776811960.4981241
1.8552536019572263,-1.8320979340894017,0.5463531238722623,-0.10754960223829012,-0.035812728760074276,1.024898741548624,759,74,,,3539,67,1045,59,874,67,484,65,3564,70,873,64,-1,1776811961.3760123
1.9647946711732998,-1.6769367463977,0.519309617200181,-0.15968541011888135,-0.042795304425867875,1.031198422982362,745,73,1779,68,3139,66,3727,63,637,67,3234,68,3206,63,3646,74,-1,1776811962.3483613
1.8966799747052105,-1.697415659891737,0.5541158613183942,-0.14631795147279256,-0.0837595458492314,1.04104814431544,607,72,190,71,3052,70,3367,74,651,67,3087,71,3718,67,3390,69,-1,1776811963.3817832
1.643434603280022,-1.967511439045,0.6447942732077001,-0.0768922909997853,-0.15210239653054367,1.0754702076796452,629,74,229,70,3515,73,3345,70,2544,67,1125,71,152,65,3528,66,-1,1776811964.3562317
1.3687595233058398,-2.2019314720120593,0.6820483022015558,-0.013692216797798088,-0.2038806447093094,1.0988201955566501,2618,73,137,71,3678,67,1312,70,376,68,1159,71,3979,66,3389,70,-1,1776811965.334187
1.2477066442156237,-2.233994655373245,0.7101135525669143,0.0025143300378799617,-0.1963881716252005,1.0645121830015507,457,72,4038,69,3387,68,1014,73,619,64,1052,72,3233,65,917,73,-1,1776811966.35947
1.2711191486934434,-2.2540433233957,0.7249802665263405,-0.005683029768910224,-0.15612617739447235,1.0643793233243386,2885,67,37,66,3734,67,585,71,255,67,2898,73,2809,64,602,70,-1,1776811967.3989704
1.3723629965923636,-2.2104885444877063,0.6665994799820768,-0.007778023773306367,-0.09854375926155874,1.0316643126529432,939,68,255,66,3678,71,453,69,4051,66,2767,72,516,65,453,70,-1,1776811968.4821346
1.4508295108538496,-2.1817211611618688,0.6677798754541746,-0.013250529255553912,-0.06726087851277673,1.029210953820259,732,71,2618,67,3703,73,425,63,3951,67,2678,71,525,67,257,69,-1,1776811969.6128857
1.5477759360966732,-2.097128913282545,0.6246578646920286,-0.026131939525717695,-0.03507314974132151,1.0101632267833516,863,70,808,69,3707,75,,,,,794,65,574,70,226,69,-1,1776811970.6937578
1.6247886641763334,-2.043203459150723,0.595455462115605,-0.04207331185084165,0.007937498509122669,0.9781495096795816,1068,69,2972,68,3615,76,611,61,2326,60,2681,64,835,69,120,68,-1,1776811971.7221596
