ARM_rx,ARM_ry,ARM_rz,ARM_x,ARM_y,ARM_z,HAND_rx,HAND_ry,HAND_rz,HAND_x,HAND_y,HAND_z,ant1_00470102030405000000ffff_phase,ant1_00470102030405000000ffff_rssi,ant1_00480102030405000000ffff_phase,ant1_00480102030405000000ffff_rssi,ant1_00490102030405000000ffff_phase,ant1_00490102030405000000ffff_rssi,ant1_004a0102030405000000ffff_phase,ant1_004a0102030405000000ffff_rssi,ant4_00470102030405000000ffff_phase,ant4_00470102030405000000ffff_rssi,ant4_00480102030405000000ffff_phase,ant4_00480102030405000000ffff_rssi,ant4_00490102030405000000ffff_phase,ant4_00490102030405000000ffff_rssi,ant4_004a0102030405000000ffff_phase,ant4_004a0102030405000000ffff_rssi,timestamp
-0.3839257131630911,-2.8157320259141216,0.6514246727065219,-0.20035283346611996,-0.11719205908861585,1.19793303845954,0.2835053396362701,3.3036892731407055,-1.019307204856809,-0.17316529165596717,-0.025328188062960545,1.0974423973902057,,,849,65,1261,71,,,1238,62,0,63,3673,65,,,1778567756.1458566
0.45245634395363277,3.2792148972602497,-0.7427263443011154,-0.19874005998973762,-0.11548633397234083,1.1841163242131032,-0.20891862179387832,-2.6277347644197184,0.7889308322130838,-0.16813321974772882,-0.02480196355263799,1.0615041286239664,,,654,65,3312,71,,,3326,62,2451,67,3749,66,,,1778567756.604042
-0.36782360116395446,-2.7883060966512474,0.5457145747776844,-0.20346246581520272,-0.11743391802122582,1.2080307660074783,0.27256793713108746,3.295028060182063,-1.0507745472050023,-0.17192390900206442,-0.02500992075783032,1.0836229560109316,,,2758,64,1204,72,,,3394,58,515,64,1321,62,,,1778567757.0606046
-0.36817645065599747,-2.787421378845957,0.54902835168978,-0.20398668680127055,-0.11732659442819582,1.207026475927357,-0.22071877679042298,-2.671784529627296,0.8512507413480425,-0.1719221909726824,-0.024377060194389805,1.083573173511817,,,2905,65,3324,71,,,,,257,64,3607,63,,,1778567757.5766075
-0.3716305944257272,-2.8070096025103637,0.5960339566123455,-0.19996842256632277,-0.1154416128330737,1.1873497177405228,-0.20787630412660674,-2.685153210540141,0.821915402249651,-0.1710218893516183,-0.024751580834707534,1.0858362163495987,,,662,64,3305,70,,,,,262,64,3436,64,,,1778567758.0289087
-0.4265477804862368,-2.829593049079601,0.603248869009151,-0.1974856380280856,-0.11081701433304154,1.1743629451201665,-0.1963685323421114,-2.7081717039795947,0.8281390142557108,-0.1655426367824557,-0.021008627918412855,1.070586891260949,1108,62,683,65,3409,69,,,,,251,67,3121,65,,,1778567758.4861474
0.44610121517147555,3.1886519973030767,-0.6584593662103224,-0.20003419306112716,-0.09439419406210024,1.176242634290643,-0.21677508105160795,-2.684569236600924,0.8494624068755117,-0.1627480001501948,-0.003364152611872042,1.0321643451259912,3074,65,2450,67,3670,70,,,3984,62,156,68,486,66,,,1778567758.9896338
-0.39678525401102294,-2.8534775700625663,0.5724708712507166,-0.20461561924675267,-0.07917993820474968,1.1682642357939554,-0.1290033431240119,-2.708567361703716,0.8167058725957717,-0.17533940202074685,0.011594544852660493,1.0681493011941938,743,68,340,66,1803,74,,,4005,67,90,67,217,71,,,1778567759.4906542
-0.37707466315488364,-2.8589385793980573,0.5788501700318898,-0.20849434929751898,-0.06195293791703494,1.156904976623849,-0.1345541018917001,-2.719323092577354,0.8225661723959503,-0.17831690352292587,0.02915345130502816,1.0449537573126129,2592,70,4078,64,3865,75,559,72,3822,69,3918,68,3924,71,2953,71,1778567760.0488493
-0.359990135487883,-2.8672777544108925,0.5903069936401647,-0.21376162523481965,-0.040370427078565446,1.1463135744865487,-0.12123376138698243,-2.7113396966315904,0.8026388950693701,-0.1851283842559011,0.050020877763431656,1.0502231312599795,154,69,,,3666,77,166,75,1696,68,,,,,684,72,1778567760.7078013
0.38015586859590594,3.271162585595386,-0.624673991692287,-0.21355069418760572,-0.007810840665230926,1.1241702470312216,-0.11777523131310164,-2.733572801117587,0.787862407695622,-0.1873333602232478,0.08165515860144035,1.0314256643406179,4039,68,,,1504,77,83,74,1669,68,,,3592,68,2798,71,1778567761.1575408
-0.3033602914442882,-2.942677138367437,0.5203474494076463,-0.2072212564395802,0.007579745203529714,1.1278805038586088,-0.09174080975598521,-2.756233500171448,0.8134990252375411,-0.1826339442846017,0.09825741702627631,1.0333485104290223,4037,67,,,3531,75,125,71,3697,69,,,3613,69,1046,69,1778567761.6621096
