WRIST_rx,WRIST_ry,WRIST_rz,WRIST_x,WRIST_y,WRIST_z,ant1_00470102030405000000ffff_phase,ant1_00470102030405000000ffff_rssi,ant1_00480102030405000000ffff_phase,ant1_00480102030405000000ffff_rssi,ant1_00490102030405000000ffff_phase,ant1_00490102030405000000ffff_rssi,ant1_004a0102030405000000ffff_phase,ant1_004a0102030405000000ffff_rssi,ant4_00470102030405000000ffff_phase,ant4_00470102030405000000ffff_rssi,ant4_00480102030405000000ffff_phase,ant4_00480102030405000000ffff_rssi,ant4_00490102030405000000ffff_phase,ant4_00490102030405000000ffff_rssi,ant4_004a0102030405000000ffff_phase,ant4_004a0102030405000000ffff_rssi,interaction_id,timestamp
-1.9517015309966348,-2.2512698155304385,1.5766187989871268,-0.22235144158318948,0.08994489383639358,1.045504593598888,1046,66,278,70,3353,75,3833,76,1266,71,799,63,41,66,597,77,-1,1778395297.058196
-1.9770756826135794,-2.2764894406161975,1.544309413588476,-0.2272817410858694,0.09250954517863992,1.071567206251924,3068,66,224,70,3280,75,3793,75,3264,70,3940,67,30,62,680,72,-1,1778395297.7722845
1.6675237372612708,1.9157973106592248,-1.219460112754805,-0.21437613521130092,0.08608415892436239,1.0477488488856697,1018,66,236,68,3283,76,3849,64,3166,70,3870,72,,,1328,71,-1,1778395298.5353525
-2.2593564420666223,-2.229134546637688,1.4453847552140937,-0.1688996033361078,0.0754160551538382,1.043579964135021,1008,66,316,66,3317,76,,,1028,69,1662,71,,,1358,72,-1,1778395299.2172081
-2.356310345454453,-2.1590897163917715,1.4637191745175946,-0.14497719798339218,0.06911090021654803,1.029053763616385,3094,68,385,64,3335,75,,,3010,69,3801,70,3957,61,1344,75,-1,1778395299.8276098
1.8723244404436346,1.6577729063531448,-1.102036790786474,-0.12622516429263894,0.06672172083719832,1.035561650194533,3104,68,319,64,3335,74,768,66,2991,68,3857,67,3884,62,3343,74,-1,1778395300.4854596
1.9349410602908463,1.6250849514500054,-1.1092873002958297,-0.09646723015031158,0.05700530215848744,1.0386744776680812,3167,68,239,64,3363,74,575,66,3172,68,3723,66,3913,62,3275,73,-1,1778395301.199528
1.9473058682213327,1.4531759524055095,-1.0718388556307885,-0.07332605344479298,0.046395701432952186,1.0228618004945862,1148,68,3984,65,3435,75,433,68,3579,68,3614,68,4043,67,3245,70,-1,1778395301.96817
1.9697004590145908,1.4398077847056026,-1.0579527310904708,-0.0518152978101531,0.03184965852220333,1.0324984000225255,2793,66,3859,68,3498,76,312,71,3842,70,3526,68,3956,72,1273,68,-1,1778395302.6826646
1.9908230743805295,1.4731795850267617,-1.0307852782647056,-0.03380721693846262,0.021521178530553763,1.0497325402692326,2768,66,1867,70,3516,78,232,71,3928,69,3446,71,52,72,3042,66,-1,1778395303.393779
1.9973088941742547,1.4960286401427665,-1.0573139942458174,-0.021953601594041177,0.015478616387707849,1.0598912188831766,917,65,3880,70,3606,78,4090,70,3937,68,3520,69,310,69,673,67,-1,1778395304.1113312
2.0081647253165373,1.4225112057406677,-1.0014869223312013,0.007654988221376885,0.005404064818519615,1.0458915498405519,2927,67,1798,71,3797,75,3999,71,1845,67,3551,69,2832,66,572,68,-1,1778395304.8240945
2.099344891287959,1.3991133160171745,-1.0062029332055569,0.034538476140700096,0.0005437074543018156,1.0757777986941115,952,68,3804,71,263,72,3930,71,3637,65,3529,69,866,64,478,70,-1,1778395305.5360146
2.1265388499881497,1.3594164048883264,-1.032992498611175,0.06130447056035845,0.0021877141755410707,1.0711600138021902,1033,69,3759,71,153,71,3922,71,3432,67,1373,69,563,67,468,71,-1,1778395306.2608223
2.1707309217897466,1.3322217500929174,-1.021815859995675,0.08347829515540309,0.005655332057643371,1.0548681453975224,3222,69,3810,71,3870,74,1928,72,1307,68,3328,68,399,73,408,73,-1,1778395306.9789248
2.231114205879456,1.3571852131528168,-0.982030741748813,0.11240915873736777,0.009126977580187458,1.0804866319298347,3229,69,1835,68,3825,75,1956,72,1332,69,3162,68,2471,72,379,73,-1,1778395307.6932862
-2.7331216429728373,-1.6578012386393635,1.2474475002690546,0.13214775872699902,0.013586849656388842,1.0692271202075734,1117,71,3940,67,3782,74,4035,72,1416,68,3112,65,334,70,409,72,-1,1778395308.457688
