WRIST_rx,WRIST_ry,WRIST_rz,WRIST_x,WRIST_y,WRIST_z,ant1_00470102030405000000ffff_phase,ant1_00470102030405000000ffff_rssi,ant1_00480102030405000000ffff_phase,ant1_00480102030405000000ffff_rssi,ant1_00490102030405000000ffff_phase,ant1_00490102030405000000ffff_rssi,ant1_004a0102030405000000ffff_phase,ant1_004a0102030405000000ffff_rssi,ant4_00470102030405000000ffff_phase,ant4_00470102030405000000ffff_rssi,ant4_00480102030405000000ffff_phase,ant4_00480102030405000000ffff_rssi,ant4_00490102030405000000ffff_phase,ant4_00490102030405000000ffff_rssi,ant4_004a0102030405000000ffff_phase,ant4_004a0102030405000000ffff_rssi,interaction_id,timestamp
1.6048529771536897,-1.9948300686712892,0.2931421999941135,-0.0030074978742605195,-0.04710465731738551,0.9964119472782049,3788,76,3443,64,3810,67,2546,70,997,66,2501,69,1,64,3265,63,-1,1776812121.5818894
1.6780620854332562,-2.036802699825277,0.46661574909039605,0.0005797328424770455,-0.026882041215033615,1.0016915153469104,3840,75,1558,67,3551,64,684,70,2774,63,2541,72,64,70,1747,64,-1,1776812122.5060697
1.6783222633468002,-2.037557061432893,0.4693208369318701,0.0005807094269912521,-0.02746317872822876,1.001480687448052,3752,74,3708,68,3520,66,718,69,601,65,2419,72,131,70,3894,62,-1,1776812123.3771331
1.644828672192789,-2.033814552078954,0.4680255526954874,-0.00263152856811272,-0.027014922022148814,0.9848196395952443,3517,74,3973,67,3604,65,2876,68,2831,66,180,70,179,70,,,-1,1776812124.199284
1.7084068076536694,-1.9257268716674183,0.4356432245133598,-0.03473201078398128,-0.02481679116986526,0.9910526087926175,1422,74,119,68,3567,64,2947,68,910,67,81,68,317,71,2397,61,-1,1776812125.0135157
1.7927581801552417,-1.8219014533851492,0.2928699957691709,-0.06510958138672114,-0.022121813973322982,1.005720123854224,3409,73,354,70,3592,62,3141,65,3068,67,112,63,386,70,789,60,-1,1776812125.9374495
1.8397403467407587,-1.7761653249000124,0.28194695346146426,-0.09230849929451188,-0.022089263245596624,1.010106109183059,3420,73,544,68,3542,64,,,1062,67,140,65,330,70,887,63,-1,1776812126.8125658
1.8867210251888311,-1.6727680203165194,0.32010116130603544,-0.1083709295474945,-0.0217995334886948,1.0005418731516247,1341,73,240,70,3631,64,3293,68,895,65,2290,68,170,71,1068,60,-1,1776812127.6429484
1.8335313585888526,-1.730404131034526,0.3270246024709646,-0.08470682740934908,-0.03667378560428868,1.0121435145357383,3501,71,3835,70,3392,65,3275,73,3551,65,2567,71,70,69,3976,60,-1,1776812128.5206687
1.6274434278231629,-1.8695953526503113,0.46291785479601916,-0.040116721101729216,-0.08058717082448402,1.0212062051869562,3446,70,3759,73,3385,72,3194,74,3809,65,2802,70,2547,68,336,63,-1,1776812129.5512567
1.455044631162926,-2.0276947937764755,0.5750846305657223,-0.0038289933413558045,-0.12937169056983525,1.0380197363378554,1217,72,3806,72,3852,72,3131,72,3608,62,2863,68,1340,62,2701,64,-1,1776812130.5278635
1.3747237852415806,-2.1193066399931006,0.6104128857557691,0.01604271381993969,-0.15925569418099525,1.06262951175297,3300,72,1781,71,3845,70,3077,72,1604,65,2851,68,1233,68,2655,63,-1,1776812131.5057046
1.3085589272118967,-2.162355364138562,0.6201695100062063,0.025966658471456003,-0.17039881210613347,1.0491014269829717,1285,72,3864,72,3643,74,1103,73,1607,66,689,68,506,70,258,63,-1,1776812132.4864562
1.3373864033862657,-2.1363470960181044,0.5780130307608434,0.006432654234535732,-0.17114554095137985,1.0632843844738349,3418,71,3921,73,3322,73,3227,73,3605,68,2623,65,86,71,3626,66,-1,1776812133.5132546
1.4088396901429499,-2.0788645472411456,0.5759307104202614,-0.03223322673243167,-0.1735651352079509,1.0812519730833072,3446,71,3931,72,3299,73,3338,74,1471,68,3052,61,7,71,3552,72,-1,1776812134.5949302
1.6272273829776436,-1.882984490507332,0.40643382570516245,-0.09347219794536725,-0.16933043300324876,1.0948998089821453,1394,71,3936,72,3271,72,1426,73,3546,67,1124,62,15,73,3587,71,-1,1776812135.6791477
1.665848218343568,-1.8005606661589877,0.48265547298200856,-0.1125257582701002,-0.16185848439389952,1.0539356261450998,1357,71,3906,72,3284,73,3378,73,3583,67,2709,64,94,72,3639,65,-1,1776812136.7612193
1.674490842910297,-1.8561793620152034,0.49007769675848034,-0.10054307877942943,-0.16999099259406994,1.0896193945747246,3379,71,1851,72,3301,73,3222,73,1668,67,2754,67,234,72,119,61,-1,1776812137.8451152
1.620896030449216,-1.9599304309660937,0.5688548043988306,-0.05381694552694462,-0.17549245326948895,1.0921928198282618,3346,71,3863,71,3374,74,3151,72,1654,65,822,69,736,71,572,66,-1,1776812138.926588
1.540487660076933,-2.020376232458324,0.6603272483586815,-0.024890535284661158,-0.17709804443399507,1.0799878764784552,1227,72,3842,72,3820,71,3106,71,1472,63,2871,67,838,68,813,64,-1,1776812140.0159626
1.3982953239789577,-2.1240484507949495,0.6632508310084189,0.01248760245441657,-0.1816478568458885,1.071624231022997,1217,73,3818,73,3888,69,3093,72,3768,63,771,68,2861,67,2544,65,-1,1776812141.045995
1.3271728934857716,-2.1626991688074275,0.6496248264047483,0.030418971960256676,-0.1742164443476192,1.054114203209076,1262,71,1721,72,3572,70,1196,74,1355,64,536,69,273,69,3818,64,-1,1776812142.073294
1.451733682389162,-2.0492476026755155,0.6276838405842619,-0.006212335299347821,-0.13858315578794567,1.0378715180759328,3298,73,3894,72,1486,67,3460,75,3016,64,2289,61,305,71,3461,69,-1,1776812142.9418485
1.626585002300251,-1.970314041764829,0.5372063523582382,-0.05506548718716425,-0.10858766698521838,1.058910758622119,3309,73,46,73,3642,64,3715,72,,,,,404,70,,,-1,1776812143.8700588
-2.389644903599139,2.6513112311729308,-0.799517007911277,-0.08634259326038252,-0.07515057082723897,1.0352694989085658,1233,73,228,73,3837,61,759,75,3001,67,,,2532,71,3830,69,-1,1776812144.6424017
1.7603907296960817,-1.8918073725565763,0.5293914188825022,-0.10112019189076081,-0.06128439843747351,1.04647409769619,3256,74,403,71,3955,62,3290,66,1029,67,,,552,70,,,-1,1776812145.4619563
1.7728418399490828,-1.8575055602690664,0.608199906176589,-0.11187376681556253,-0.04271236457271897,1.005220351748444,1163,74,2508,67,3969,66,3347,64,991,66,54,60,470,70,,,-1,1776812146.2821312
-1.8186253949487934,1.6315669781882585,0.2885353992179275,-0.12353553675333982,-0.02715871912731215,1.0075030041851105,3209,72,260,70,3976,68,,,2880,66,195,68,273,71,368,62,-1,1776812147.158829
1.8528399586919149,-1.8207593418508567,0.47553426981993535,-0.09146824650237922,-0.023103716566805817,1.0017702034976343,1232,72,1921,67,3904,71,685,68,2682,65,363,71,125,71,4040,62,-1,1776812148.0369232
1.8041986241381136,-1.9184732411945435,0.5144461737949347,-0.05441709054504214,-0.021659900206997738,0.9951934066710431,3337,73,3654,67,3813,72,608,69,2674,65,501,71,54,71,3894,64,-1,1776812148.957698
