WRIST_rx,WRIST_ry,WRIST_rz,WRIST_x,WRIST_y,WRIST_z,ant1_00470102030405000000ffff_phase,ant1_00470102030405000000ffff_rssi,ant1_00480102030405000000ffff_phase,ant1_00480102030405000000ffff_rssi,ant1_00490102030405000000ffff_phase,ant1_00490102030405000000ffff_rssi,ant1_004a0102030405000000ffff_phase,ant1_004a0102030405000000ffff_rssi,ant4_00470102030405000000ffff_phase,ant4_00470102030405000000ffff_rssi,ant4_00480102030405000000ffff_phase,ant4_00480102030405000000ffff_rssi,ant4_00490102030405000000ffff_phase,ant4_00490102030405000000ffff_rssi,ant4_004a0102030405000000ffff_phase,ant4_004a0102030405000000ffff_rssi,interaction_id,timestamp
1.6042955696543255,1.985334868099049,-1.1496401380841594,-0.236040310322853,0.06671088379562454,1.0716668078404672,1019,71,12,67,3599,75,3849,72,1440,66,2824,63,3681,66,425,75,-1,1778394970.8596735
1.6042955696543255,1.985334868099049,-1.1496401380841594,-0.236040310322853,0.06671088379562454,1.0716668078404672,1075,71,126,64,3475,74,3945,72,1345,63,845,67,1365,66,455,74,-1,1778394971.682111
1.5957503456602808,1.9639009977133952,-1.1392928579308415,-0.23173215225612412,0.06565364358780466,1.0548971740922735,3171,71,3960,66,1378,75,4041,71,1288,66,3455,69,3291,66,520,70,-1,1778394972.4471745
1.6386747270629793,1.8856738729508433,-1.0490417919619592,-0.21076585416341215,0.06640915356217479,1.0589959828206594,3146,70,4081,68,3474,76,4077,67,3443,67,3594,68,1076,67,2620,69,-1,1778394973.1553166
1.7251119590256174,1.834613406103495,-1.074782690429086,-0.19188623568914234,0.06539031893032203,1.0441399382370702,3116,69,252,68,3445,76,259,63,3389,68,,,755,68,3196,67,-1,1778394973.8714972
1.7862073858109038,1.8163672203335188,-1.0207471702028765,-0.18298393326818171,0.06550439170545971,1.0466937105229543,3183,70,3954,64,3449,75,1797,60,3343,70,3915,68,614,69,3403,69,-1,1778394974.5360725
1.8320066119032843,1.8159060277859265,-0.9672252187604561,-0.16035807882333783,0.06284451248929485,1.0300689242523065,1158,69,128,66,1416,76,3848,66,3189,69,1900,68,504,69,3521,71,-1,1778394975.3266518
1.894906648245629,1.7190969471075752,-0.9114560821730939,-0.13898896733743346,0.058421937334765986,1.0341737647321636,1137,70,280,64,3501,75,3548,67,1078,67,3763,64,499,68,3393,72,-1,1778394976.0943894
1.9760736639797178,1.5762800520178373,-0.83979879786718,-0.09887469324364356,0.0513513403130078,1.0487613252326853,1174,70,328,65,3524,74,1335,67,3153,67,1161,63,559,69,3270,71,-1,1778394976.8595164
1.9876147277968186,1.4112672305248535,-0.897103006360762,-0.08303637791610771,0.04440081446366896,1.0394884355064913,3185,70,153,64,3531,75,1238,69,1476,64,2974,64,206,71,1176,72,-1,1778394977.5745828
1.974599006404241,1.3205245420388574,-0.8791193648590341,-0.05851599375381161,0.03716786738347145,1.0279598941857262,191,71,3746,63,1244,79,1059,70,1520,66,3407,67,3996,73,1287,72,-1,1778394978.2862701
1.9981708399489826,1.3067372712993746,-0.8727096181750257,-0.04347515745008648,0.03066673130559381,1.0448907004530283,205,71,3561,65,3362,79,1023,70,3626,64,3620,67,4049,71,1493,71,-1,1778394979.057
