WRIST_rx,WRIST_ry,WRIST_rz,WRIST_x,WRIST_y,WRIST_z,ant1_00470102030405000000ffff_phase,ant1_00470102030405000000ffff_rssi,ant1_00480102030405000000ffff_phase,ant1_00480102030405000000ffff_rssi,ant1_00490102030405000000ffff_phase,ant1_00490102030405000000ffff_rssi,ant1_004a0102030405000000ffff_phase,ant1_004a0102030405000000ffff_rssi,ant4_00470102030405000000ffff_phase,ant4_00470102030405000000ffff_rssi,ant4_00480102030405000000ffff_phase,ant4_00480102030405000000ffff_rssi,ant4_00490102030405000000ffff_phase,ant4_00490102030405000000ffff_rssi,ant4_004a0102030405000000ffff_phase,ant4_004a0102030405000000ffff_rssi,interaction_id,timestamp
1.0915489717629485,-2.3483303857293976,0.6014901096681664,0.02521554417438821,-0.1853662571600535,1.082714074511725,3215,74,116,69,3163,71,991,70,773,69,3577,65,,,3994,66,-1,1776812326.274881
1.0767779856017168,-2.3413293438852882,0.5648203981496153,0.025019084256495988,-0.18343011272000082,1.0749992007364026,2927,74,,,3558,62,558,74,3441,67,678,69,4065,68,,,-1,1776812327.1542566
1.078523395546348,-2.336116409218809,0.5761691679133559,0.018651222246025344,-0.14634021715455908,1.1102426716568266,1572,73,501,66,3936,66,655,69,3124,66,601,69,3862,68,,,-1,1776812327.9715326
1.209702978641373,-2.3220911577908336,0.4982655809575566,-0.010907673855799967,-0.05088618529326197,1.0259838796138259,3669,73,607,66,3734,65,2669,69,3253,69,2620,69,108,66,,,-1,1776812329.00184
1.2651526106612379,-2.2311271146527165,0.5097088568789836,-0.01207731278941428,-0.03456627220002817,0.9953937369275295,3385,73,254,63,3242,63,808,73,3056,69,1154,61,243,63,3813,73,-1,1776812329.979256
1.326605661472663,-2.227355134797652,0.46222687345230395,-0.033781025743493745,-0.07056872401387516,1.01777022039683,3214,73,2272,64,3055,70,913,75,1093,70,3836,65,2615,64,3826,75,-1,1776812330.9582655
-1.9152593200967216,3.037076399118442,-0.6806516855805704,-0.07875182143104006,-0.1354597740309741,1.0516694840420306,3233,72,259,63,3099,73,3076,74,888,69,4032,66,283,67,3787,75,-1,1776812332.0387616
1.400925370437762,-2.1343462202213206,0.46133060248399527,-0.10633358266638014,-0.17612059917747733,1.0785884046346697,3197,74,145,66,1056,71,3345,66,2820,71,4041,70,3789,71,1146,64,-1,1776812333.0227454
1.5091092812327915,-2.0352121106383647,0.34514916193104644,-0.12318624996701238,-0.1535026871344519,1.0869241507579197,3053,74,3,65,3263,67,240,69,2841,69,,,3900,75,288,71,-1,1776812333.999307
1.6094607601977098,-1.9114651818259174,0.39729243926796387,-0.14676231611358176,-0.05988091701742883,0.9909033337893337,917,74,,,3532,65,113,72,673,68,,,3836,76,244,73,-1,1776812334.9244864
1.7341191363087785,-1.8479063268747555,0.5394285126450643,-0.15821619169802786,-0.018038751337335283,1.0068251553654908,2907,74,,,1496,67,195,73,2810,70,3333,64,3876,75,213,70,-1,1776812335.7942057
1.7711021211762898,-1.8994399192364313,0.4284691648787557,-0.1643291340973386,-0.006519195248104994,1.00955564782615,3086,73,330,65,3052,70,711,83,1133,72,295,68,,,4023,65,-1,1776812336.718293
1.7836314687670947,-1.9173343852393137,0.6917205609385251,-0.14643901370643675,-0.041493758835989235,1.0326914967557546,3086,71,3754,66,977,75,3497,68,3316,70,164,69,3651,66,3994,74,-1,1776812337.751221
1.7418951854522167,-1.9413107964414342,0.6154730048682073,-0.11553212763825692,-0.12758173358498104,1.0615232632922542,976,70,3757,67,1004,77,1052,73,3334,70,5,67,1381,67,3922,74,-1,1776812338.8322973
1.638944490120234,-1.9875862662363049,0.6640721031775857,-0.09046235857600753,-0.17049428447066803,1.0650721090483857,1144,70,3754,64,2889,76,1030,72,1018,71,2883,64,1106,63,3563,69,-1,1776812340.0248725
1.6416743711952968,-1.973524171681871,0.7947517936051335,-0.07517806338274526,-0.14508849241230184,1.064460410569455,3350,72,3650,58,971,68,561,73,3176,68,633,71,2932,66,,,-1,1776812341.1085432
1.656358185239812,-2.017926907347725,0.6696087741277406,-0.030846444369321387,-0.07278477661146546,1.0233649787938528,1452,74,,,1046,67,176,70,3412,66,754,71,2808,67,,,-1,1776812342.031835
1.7965446039847883,-2.007377055952411,0.5168143994188649,-0.007950768944900146,-0.025176890677176773,1.0042392947223455,1783,72,3349,58,943,67,271,72,2303,66,1132,71,666,69,1537,64,-1,1776812342.8964062
1.6188486835302989,-1.9295586924146544,0.4345285038001293,0.007948034826993923,-0.03571345506483497,0.9701077270416568,3163,71,3524,65,3030,71,594,74,3526,67,1459,68,,,115,71,-1,1776812343.8224077
1.51265711014955,-2.0889265728048083,0.4853423672001042,0.017320266670924896,-0.11214357087942642,1.0500172736248248,1155,72,3729,66,2890,76,2828,73,1271,67,1502,67,3424,65,2341,71,-1,1776812344.852056
1.3843652390786478,-2.159215729338472,0.7031799318153644,0.022204920583907894,-0.16966663152554984,1.0728029105567125,3198,73,3789,67,911,76,2855,73,3836,68,1253,69,709,62,3863,69,-1,1776812345.937157
1.3688658317027724,-2.1920344591761407,0.769125915907881,0.022532475013863174,-0.17536084793074672,1.0721230740506669,3277,69,3322,65,3293,63,420,74,3902,64,2864,71,982,64,,,-1,1776812347.0227659
1.3688658317027724,-2.1920344591761407,0.769125915907881,,,,3483,73,3391,59,3434,65,209,71,,,692,71,814,63,214,61,-1,1776812347.8447556
1.6712674364538296,-2.024677579178805,0.5396434041699137,0.009656847848755904,-0.01938030811176828,0.992321435198635,3270,73,,,3424,66,114,70,2905,64,651,70,2927,62,195,62,-1,1776812348.7172441
1.7132874466164434,-2.0078253572734805,0.570752908982003,0.0008822964270571172,0.009293588957918352,0.9729587257500553,1285,73,,,3428,66,357,70,2962,70,2599,65,,,1309,66,-1,1776812349.6419482
1.6701472167817641,-2.066904911792674,0.6836373864508923,-0.020006623635212373,-0.01779061051882465,1.0018711507609523,3123,73,4002,66,883,65,3189,74,1084,70,4088,65,60,65,3968,76,-1,1776812350.56891
1.6133266243039344,-2.0739717971079297,0.5187961954469756,-0.07190993333844324,-0.08839885378842678,1.0639002167372777,3150,73,3972,65,814,72,3385,74,3187,70,3993,66,275,68,3891,74,-1,1776812351.487703
1.589956510456701,-2.0110179850609633,0.5123218304900702,-0.10278227863045937,-0.13875707127492795,1.0670191601767784,3145,73,4038,65,3003,73,3540,70,3189,70,4033,68,4030,70,1198,72,-1,1776812352.4600284
1.6084720139442181,-1.9610638141299335,0.5122939368964552,-0.12047611574071612,-0.17064101502659504,1.0740224738015725,3104,74,,,716,70,3615,66,2972,70,161,69,3799,75,,,-1,1776812353.4382434
1.6860893339798269,-1.8955330351127264,0.49309625425745274,-0.13966778706223196,-0.11591236553010374,1.0388324586160633,962,74,3769,67,374,64,210,71,869,68,,,3917,75,288,72,-1,1776812354.254768
1.7516213475200915,-1.8487535435871552,0.5374063709234691,-0.16255455681081482,-0.0598678396670518,1.0371273393805591,3004,74,,,,,221,74,2866,68,,,3942,75,213,73,-1,1776812355.2284935
1.8746118853420612,-1.849597433040257,0.49156185265869545,-0.1682753418922092,-0.004150262817940262,1.0141098105426334,952,73,341,70,1159,65,260,73,3255,70,,,112,67,2488,67,-1,1776812356.046949
1.9452134135942252,-1.802604261607133,0.46584960797564784,-0.16667913812864454,0.016610804450149876,0.9948395027843661,3224,70,3962,64,2897,73,1066,65,1665,69,3969,64,4069,71,4043,73,-1,1776812357.072725
1.988632616909022,-1.7116020776500518,0.45448589930635025,-0.14859916272506254,-0.05769696311425857,1.055085891346775,725,71,3876,70,1183,77,3394,76,3689,67,246,62,3938,70,4006,70,-1,1776812358.1574135
1.878381507571803,-1.7768726461833713,0.5767052525807628,-0.10069983695080735,-0.15392250496794474,1.0834417676585375,3388,71,3820,67,717,75,3097,72,1020,73,581,67,473,67,3900,63,-1,1776812359.3480387
1.838039149854377,-1.8261508284267398,0.5519878814677082,-0.0779054842122336,-0.1605876975832482,1.056839458922821,987,76,3914,65,85,67,152,72,359,70,525,71,3912,64,,,-1,1776812360.2768927
1.81509888181174,-1.8936610192985952,0.6091156002354792,-0.027585087444220766,-0.06323243786845127,1.0131266402171832,1170,77,3878,64,70,66,9,70,3680,70,2815,71,240,70,388,59,-1,1776812361.2541523
1.7520408014206232,-1.906199867296565,0.4449410523578633,-0.007575462222249381,-0.021572030940617028,0.9864985968797871,3289,74,3920,67,3026,65,2485,72,3433,70,3109,69,,,1033,62,-1,1776812362.3280928
1.6611108944714323,-1.98277700625453,0.5092347072020382,0.021355062971060147,-0.11314364166305481,1.0205730638399102,3453,75,8,61,,,368,71,1177,70,945,68,3839,69,3433,64,-1,1776812363.461097
1.4986946472950557,-2.1672108687457734,0.5122225962387916,0.04614530379906571,-0.18361327701152041,1.0832066285847768,3403,77,129,69,,,398,68,2877,69,812,67,,,976,67,-1,1776812364.5957122
