ARM_rx,ARM_ry,ARM_rz,ARM_x,ARM_y,ARM_z,HAND_rx,HAND_ry,HAND_rz,HAND_x,HAND_y,HAND_z,ant1_00470102030405000000ffff_phase,ant1_00470102030405000000ffff_rssi,ant1_00480102030405000000ffff_phase,ant1_00480102030405000000ffff_rssi,ant1_00490102030405000000ffff_phase,ant1_00490102030405000000ffff_rssi,ant1_004a0102030405000000ffff_phase,ant1_004a0102030405000000ffff_rssi,ant4_00470102030405000000ffff_phase,ant4_00470102030405000000ffff_rssi,ant4_00480102030405000000ffff_phase,ant4_00480102030405000000ffff_rssi,ant4_00490102030405000000ffff_phase,ant4_00490102030405000000ffff_rssi,ant4_004a0102030405000000ffff_phase,ant4_004a0102030405000000ffff_rssi,timestamp
0.1945774151364386,3.1564617506878627,-0.6583439533671326,-0.2539616476405362,-0.06223363043970858,1.185504645170062,-0.12873285002510562,-2.761183581230155,0.9494929629119412,-0.23119247639621496,0.02687439369103067,1.0874505582353406,505,70,331,60,3921,76,652,73,3695,63,4032,69,274,70,3500,66,1778567337.3323443
-0.2107401336078917,-2.987281328214851,0.6846589461860324,-0.24373348019838342,-0.06549543960095129,1.174004207905358,-0.19726787404475585,-2.7750812789797235,0.9994498377902554,-0.21716507107919597,0.021658047916797173,1.0707861045252374,596,71,126,62,3926,76,790,71,3669,64,2,68,249,73,3741,65,1778567337.9933257
0.2724520363316074,3.0492000030545565,-0.6955687616928142,-0.2395457317992508,-0.06939613836254696,1.186845863823538,-0.2838660867037593,-2.760589426500676,0.944108555252388,-0.20778411803259478,0.01680887835566185,1.0653452812203947,2649,69,262,64,3902,76,805,66,,,,,347,72,,,1778567338.604593
0.2460847523367641,3.008680002283302,-0.6687139099027872,-0.23608355156231203,-0.07075651105958138,1.196988837423113,-0.28479365620825364,-2.7745997913407905,1.0539352720551192,-0.2010065973083396,0.015710070527194482,1.0589113925114657,2602,69,312,65,3927,76,2964,67,3810,61,,,,,,,1778567339.0554268
-0.29397490808001203,-3.15977587564934,0.5903220853231624,-0.2354851665621203,-0.07492050379523474,1.2136240142852301,-0.32416628862674274,-2.7960434629394975,1.0451755320703333,-0.1983858366170209,0.013090450637050792,1.076278470303528,744,69,328,65,3963,75,,,,,4046,66,643,67,,,1778567339.6086812
-0.33284958888739824,-3.1049196790053197,0.7256609630271722,-0.2145519431682128,-0.08437734386914167,1.1853019282240678,-0.33927862231464595,-2.8223443112401054,1.1121592755121645,-0.1847402557243446,0.0032271417849497556,1.0880422146897222,803,69,,,3947,74,,,3868,60,295,62,564,69,2957,58,1778567340.064083
0.35073381420888505,2.9714985689860773,-0.6619921423220917,-0.20356534269961465,-0.09784847458769237,1.2100127761533463,-0.340773853035241,-2.791382542287659,1.0940045338363444,-0.17040316073244316,-0.008783388722976918,1.101807048310687,1003,66,117,65,3789,73,1450,60,3345,65,2849,68,694,67,3672,63,1778567340.575357
-0.3913348170707423,-3.1001346568761865,0.7641601754513808,-0.18921753536190364,-0.10413624986813017,1.1884033504485725,-0.38791886301835027,-2.785903050992713,1.0703116702074822,-0.1549660206822563,-0.018446251461815964,1.0772314303775705,931,66,429,67,3858,72,1450,69,,,,,816,67,3445,69,1778567341.2394571
0.467470670575732,2.9044223887636478,-0.7300314946362116,-0.17776581205538805,-0.11977129129892894,1.216735279266763,0.49996909276058377,2.984344415198594,-1.168857604265057,-0.1362604690590306,-0.034798107683916356,1.1122119497438983,3201,67,249,67,3954,72,1418,71,,,386,59,731,69,1398,67,1778567341.7445989
0.5882992448938544,2.828498722465922,-0.6911062697089052,-0.16338271854411737,-0.13172278604355728,1.2286126372136599,-0.5675920363601054,-2.7939615316284123,1.1197165510636933,-0.11362035882293542,-0.045894063933283095,1.0947577041812255,3231,68,156,67,4045,71,1066,70,,,,,2945,69,3840,66,1778567342.301685
